População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
AM,1303007,Nhamundá,3729,4121,4202.09121383,4735.57072064,
AM,1303106,Nova Olinda do Norte,3902,4462,3624.02901915,7247.5969441,
AM,1303205,Novo Airão,2433,1024,3370.86151992,3161.87543123,
AM,1303304,Novo Aripuanã,5079,2872,2768.96266899,5111.73362224,
AM,1303403,Parintins,9989,14049,17338.6940975,30348.0183853101,
AM,1303502,Pauini,2540,2956,4056.67360655,4929.79218811,
AM,1303536,Presidente Figueiredo,,,2360.08015405,7017.3051399,
AM,1303569,Rio Preto da Eva,,,1492.52955474,6994.15532795,
AM,1303601,Santa Isabel do Rio Negro,1025,977,4219.27997295,3557.83155344,
AM,1303700,Santo Antônio do Içá,2892,4527,3837.47692166,6656.47471272,
AM,1303809,São Gabriel da Cachoeira,4170,7362,8251.55198831,7184.43331598,
AM,1303908,São Paulo de Olivença,6116,6660,4124.7015311,8546.0457146,
AM,1303957,São Sebastião do Uatumã,,,1251.03577023,2750.34182258,
AM,1304005,Silves,1020,1439,1631.36324731,2872.9849773,
AM,1304062,Tabatinga,,,7169.60665595,12835.93912662,
AM,1304104,Tapauá,3003,4237,7168.42093379,5728.36994064,
AM,1304203,Tefé,5901,8935,15005.80479939,24147.7714056,
AM,1304237,Tonantins,,,2781.32800605,6404.92923048,
AM,1304260,Uarini,,,1625.2260827,3771.3802687,
AM,1304302,Urucará,1728,2268,2865.44905968,7245.193315,
AM,1304401,Urucurituba,2782,2670,4135.86104464,3844.01775544,
AP,1600055,Serra do Navio,,,,1186.89597996,
AP,1600105,Amapá,2626,2351,2111.3759756,2247.93173433,
AP,1600154,Pedra Branca do Amaparí,,,,1113.98771702,
AP,1600204,Calçoene,796,805,1385.97787048,2212.19156935,
AP,1600212,Cutias,,,,913.49844695,
AP,1600238,Ferreira Gomes,,,562.33104307,1185.51051719,
AP,1600253,Itaubal,,,,1010.37705927,
AP,1600279,Laranjal do Jari,,,7435.19774344,10564.36689911,
AP,1600303,Macapá,21504,38452,59330.8003896,114812.878231049,
AP,1600402,Mazagão,2960,5822,2290.85928353,3139.94293911,
AP,1600501,Oiapoque,1218,1697,2391.23311415,5156.08859351,
AP,1600535,Porto Grande,,,,3331.3121595,
AP,1600550,Pracuúba,,,,940.20885386,
AP,1600600,Santana,,,15449.26621495,29018.2849455,
AP,1600709,Tartarugalzinho,,,1269.00557747,2020.59757619,
AP,1600808,Vitória do Jari,,,,2118.83817544,
BA,2900108,Abaíra,2268,3081,3093.9915538,4296.54974764,
BA,2900207,Abaré,2187,2266,3464.18370367,6445.74582582,
BA,2900306,Acajutiba,2627,3334,3594.79205329,4618.56794036,
BA,2900355,Adustina,,,4660.35342398,6125.75513157,
BA,2900405,Água Fria,4166,4071,3368.76391032,5518.46772315,
BA,2900504,Érico Cardoso,1970,1671,2179.62736276,3919.34910851,
BA,2900603,Aiquara,2387,2433,1843.7735627,1973.38629709,
BA,2900702,Alagoinhas,20111,29211,38903.5625005601,56810.8832315602,
BA,2900801,Alcobaça,8476,12768,5051.95759732,8688.61520148,
BA,2900900,Almadina,2520,2989,2774.46233615,3062.71197094,
BA,2901007,Amargosa,7892,7672,10219.07861535,13949.81566091,
BA,2901106,Amélia Rodrigues,4265,4645,6841.20328839,9850.46763815,
BA,2901155,América Dourada,,,4913.69536324,5555.00834599,
BA,2901205,Anagé,8393,10654,13774.26756925,9612.56039623,
BA,2901304,Andaraí,6461,7219,4054.15996328,4947.77302008,
BA,2901353,Andorinha,,,6359.21983877,5056.3667181,
BA,2901403,Angical,3472,3159,5284.83304146,5342.70807162,
BA,2901502,Anguera,2742,2127,2249.11480866,4063.56712215,
BA,2901601,Antas,4894,6559,6447.7530133,6034.97705772,
