Renda per capita média
Sigla,Código,Município,1991,2000,2010,
BA,2905305,Cafarnaum,110.93,178.21,251.31,
BA,2905404,Cairu,128.83,165.54,334.19,
BA,2905503,Caldeirão Grande,106.89,122.43,211.26,
BA,2905602,Camacan,174.87,258.72,351.84,
BA,2905701,Camaçari,258.98,334.43,553.18,
BA,2905800,Camamu,109.38,150.6,264.63,
BA,2905909,Campo Alegre de Lourdes,174.75,185.85,199.01,
BA,2906006,Campo Formoso,105.25,178.76,270.05,
BA,2906105,Canápolis,84.07,164.6,217.86,
BA,2906204,Canarana,162.41,180.71,252.39,
BA,2906303,Canavieiras,130.8,246.32,325.61,
BA,2906402,Candeal,97.74,143.49,251.54,
BA,2906501,Candeias,249.13,300.03,462.57,
BA,2906600,Candiba,91.09,140.48,290.99,
BA,2906709,Cândido Sales,135.52,223,268.57,
BA,2906808,Cansanção,139.37,112.83,216.24,
BA,2906824,Canudos,97.67,136.36,251.59,
BA,2906857,Capela do Alto Alegre,139.05,215.52,299.05,
BA,2906873,Capim Grosso,125.41,215.1,378.85,
BA,2906899,Caraíbas,76.66,149.02,277.97,
BA,2906907,Caravelas,146.4,376.79,394.43,
BA,2907004,Cardeal da Silva,117.37,142.49,207.42,
BA,2907103,Carinhanha,93.25,133.12,209.51,
BA,2907202,Casa Nova,143.02,175.6,289.24,
BA,2907301,Castro Alves,133.51,167.36,316.1,
BA,2907400,Catolândia,93.18,125.66,251.21,
BA,2907509,Catu,193.1,294.78,486.05,
BA,2907558,Caturama,84.72,119.83,234.88,
BA,2907608,Central,119.62,168.62,231.1,
BA,2907707,Chorrochó,115.29,140.19,248.5,
BA,2907806,Cícero Dantas,126.28,195.66,315.19,
BA,2907905,Cipó,140.68,185.12,312.03,
BA,2908002,Coaraci,136.38,203.09,366.33,
BA,2908101,Cocos,116.62,160.51,258.27,
BA,2908200,Conceição da Feira,155.31,190.72,348.39,
BA,2908309,Conceição do Almeida,128.84,181.79,290.98,
BA,2908408,Conceição do Coité,130.13,187.56,309.61,
BA,2908507,Conceição do Jacuípe,201.29,275.12,403.18,
BA,2908606,Conde,96.7,158.34,246.81,
BA,2908705,Condeúba,145.68,199.91,260.07,
BA,2908804,Contendas do Sincorá,130.8,181.91,293.12,
BA,2908903,Coração de Maria,172.45,181.35,257.21,
BA,2909000,Cordeiros,94.26,157.64,263.24,
BA,2909109,Coribe,143.52,115.46,237.03,
BA,2909208,Coronel João Sá,107.85,110.42,238.18,
BA,2909307,Correntina,134.99,183.7,285.96,
BA,2909406,Cotegipe,104.36,150.64,237.5,
BA,2909505,Cravolândia,82.07,151.57,259.87,
BA,2909604,Crisópolis,130.13,158.54,232.6,
BA,2909703,Cristópolis,130.66,149.21,239.23,
BA,2909802,Cruz das Almas,213.47,317.61,481.8,
BA,2909901,Curaçá,141.15,184.44,236.77,
BA,2910008,Dário Meira,82.26,105.61,206.16,
BA,2910057,Dias d'Ávila,274.93,305.38,460.6,
BA,2910107,Dom Basílio,124.86,167.57,240.83,
BA,2910206,Dom Macedo Costa,115.23,190.34,329.93,
BA,2910305,Elísio Medrado,112.71,208.82,315.04,
BA,2910404,Encruzilhada,114.74,158.81,220,
BA,2910503,Entre Rios,129.68,215.62,338.53,
BA,2910602,Esplanada,152.59,171.92,312.58,
BA,2910701,Euclides da Cunha,101.8,162.84,269.58,
BA,2910727,Eunápolis,235.4,398.68,575.44,
BA,2910750,Fátima,82,167.33,250.6,
BA,2910776,Feira da Mata,183.64,196.66,212.22,
BA,2910800,Feira de Santana,317.02,412.85,662.24,
BA,2910859,Filadélfia,92.31,105.64,250.08,
BA,2910909,Firmino Alves,149.76,203.36,325.51,
BA,2911006,Floresta Azul,119.75,181.52,242.04,
BA,2911105,Formosa do Rio Preto,193.84,280.66,287.94,
BA,2911204,Gandu,263.58,306.92,442.37,
BA,2911253,Gavião,169.25,161.03,271.53,
BA,2911303,Gentio do Ouro,177.64,191.14,207.35,
BA,2911402,Glória,120.3,176.64,266.14,
BA,2911501,Gongogi,81.06,119.21,234.7,
BA,2911600,Governador Mangabeira,106.18,188.57,322.02,
BA,2911659,Guajeru,78.27,160.7,241.69,
BA,2911709,Guanambi,208.98,307.55,496.05,
BA,2911808,Guaratinga,169.76,161.67,258.74,
BA,2911857,Heliópolis,90.47,148.66,241.36,
BA,2911907,Iaçu,118.1,173.42,311.24,
BA,2912004,Ibiassucê,94.18,190.18,350.98,
BA,2912103,Ibicaraí,145.18,211.44,354.75,
BA,2912202,Ibicoara,92.95,259.9,300.89,
BA,2912301,Ibicuí,245.04,216.34,307.49,
BA,2912400,Ibipeba,123.97,163.66,290.82,
BA,2912509,Ibipitanga,129.15,187.73,249.32,
BA,2912608,Ibiquera,89.67,133.85,199.55,
BA,2912707,Ibirapitanga,91.85,140.03,261.88,
BA,2912806,Ibirapuã,143.49,236.49,431.31,
BA,2912905,Ibirataia,134.21,182.38,278.69,
BA,2913002,Ibitiara,89.41,167.82,244.68,
BA,2913101,Ibititá,117.44,164.04,250.63,
BA,2913200,Ibotirama,148.05,285.06,337.12,
BA,2913309,Ichu,129.97,194.72,296.17,
BA,2913408,Igaporã,104.19,195.13,306.74,
BA,2913457,Igrapiúna,111.52,131.21,269.34,
BA,2913507,Iguaí,132.81,185.02,258.8,
BA,2913606,Ilhéus,209.98,348.88,579.46,
BA,2913705,Inhambupe,107.64,156.39,254.99,
BA,2913804,Ipecaetá,102.83,136.22,186.54,
BA,2913903,Ipiaú,226.77,291.77,573.36,
BA,2914000,Ipirá,128.84,175.9,274.88,
BA,2914109,Ipupiara,115.24,166.64,258.3,
BA,2914208,Irajuba,84.07,138.64,236.16,
BA,2914307,Iramaia,89.53,131.81,234.91,
BA,2914406,Iraquara,96.11,147.54,242.58,
BA,2914505,Irará,118.6,186.05,308.34,
BA,2914604,Irecê,237.64,319.09,488.15,
BA,2914653,Itabela,148.49,193.29,365.39,
BA,2914703,Itaberaba,149.65,244.74,422.79,
BA,2914802,Itabuna,330.17,419.51,605.12,
BA,2914901,Itacaré,150.26,165.24,323.3,
BA,2915007,Itaeté,80.76,120.76,224.79,
BA,2915106,Itagi,97.98,183.4,234.8,
BA,2915205,Itagibá,107.93,148.3,270.27,
BA,2915304,Itagimirim,156.04,282.54,339.65,
BA,2915353,Itaguaçu da Bahia,60.97,130.99,245.68,
BA,2915403,Itaju do Colônia,87.77,190.09,276.93,
BA,2915502,Itajuípe,146.12,198.67,354.2,
BA,2915601,Itamaraju,222.69,298.07,432.95,
BA,2915700,Itamari,156.24,203.73,325,
BA,2915809,Itambé,134.11,155.1,312.32,
BA,2915908,Itanagra,98.84,162.29,289.16,
BA,2916005,Itanhém,164.42,236.22,388.04,
BA,2916104,Itaparica,138.52,257.05,476.99,
BA,2916203,Itapé,80.25,151.96,285.13,
BA,2916302,Itapebi,106.31,173.48,273.69,
BA,2916401,Itapetinga,239.94,318.7,506.76,
BA,2916500,Itapicuru,108.73,123.75,185.7,
BA,2916609,Itapitanga,135.31,164.5,225.1,
BA,2916708,Itaquara,107.2,154.13,229.04,
BA,2916807,Itarantim,108.69,196.31,352.74,
BA,2916856,Itatim,115.04,183.8,245.37,
BA,2916906,Itiruçu,122.76,215.5,309.83,
BA,2917003,Itiúba,117.02,136.12,205.18,
BA,2917102,Itororó,142.99,216.78,330,
BA,2917201,Ituaçu,150.74,233.56,269.3,
BA,2917300,Ituberá,112.62,186.67,337.03,
BA,2917334,Iuiú,125.18,142.58,249.32,
BA,2917359,Jaborandi,94.93,118.09,281.14,
BA,2917409,Jacaraci,103.13,184.53,283.51,
BA,2917508,Jacobina,193.47,289.33,417.88,
BA,2917607,Jaguaquara,147.31,229.89,307.08,
BA,2917706,Jaguarari,138.61,211.42,439.23,
BA,2917805,Jaguaripe,135.33,144.45,247.75,
BA,2917904,Jandaíra,97.18,114.94,192.11,
BA,2918001,Jequié,199.95,275.94,473.92,
BA,2918100,Jeremoabo,137.78,162.2,262.76,
BA,2918209,Jiquiriçá,108.54,186.22,257.95,
BA,2918308,Jitaúna,105.24,134.77,266.56,
BA,2918357,João Dourado,137.65,203.31,283.12,
BA,2918407,Juazeiro,213.74,354.06,476.58,
BA,2918456,Jucuruçu,86.76,165.6,188.8,
BA,2918506,Jussara,110.58,148.78,236.05,
BA,2918555,Jussari,98.5,167.77,290.22,
BA,2918605,Jussiape,148.04,187.16,334.07,
BA,2918704,Lafaiete Coutinho,85.56,161.54,288.05,
BA,2918753,Lagoa Real,43.85,124.04,223.11,
BA,2918803,Laje,149.45,199.14,241.63,
BA,2918902,Lajedão,337.35,308.16,463.94,
BA,2919009,Lajedinho,76.5,126.63,205.65,
BA,2919058,Lajedo do Tabocal,103.73,171.17,237.39,
BA,2919108,Lamarão,74.89,144.98,180.82,
BA,2919157,Lapão,128.08,205.8,244.43,
BA,2919207,Lauro de Freitas,437.59,651.63,1031.78,
BA,2919306,Lençóis,151.76,227.73,362.74,
BA,2919405,Licínio de Almeida,114.42,214.99,299.47,
BA,2919504,Livramento de Nossa Senhora,165.93,229.32,309.16,
BA,2919553,Luís Eduardo Magalhães,508.25,625.07,871.12,
BA,2919603,Macajuba,94.87,129.13,197.25,
BA,2919702,Macarani,140.57,197.21,350.25,
BA,2919801,Macaúbas,95.99,157.83,255.36,
BA,2919900,Macururé,68.12,138.74,240.32,
BA,2919926,Madre de Deus,231.08,332.67,517.74,
BA,2919959,Maetinga,94.49,114.74,268.47,
BA,2920007,Maiquinique,101.56,186.15,306.24,
BA,2920106,Mairi,115.73,147.27,286.58,
BA,2920205,Malhada,74.08,116.73,218.66,
BA,2920304,Malhada de Pedras,121.26,129.78,244.02,
BA,2920403,Manoel Vitorino,80.63,136.09,226.95,
BA,2920452,Mansidão,68.33,88.61,182.65,
BA,2920502,Maracás,119.7,146.5,290.11,
BA,2920601,Maragogipe,117.89,170.15,300.1,
BA,2920700,Maraú,190.08,204.51,437.51,
BA,2920809,Marcionílio Souza,81.71,166.14,201.52,
BA,2920908,Mascote,97.57,143.91,272.97,
BA,2921005,Mata de São João,185.79,261.1,451.9,
BA,2921054,Matina,76.33,88.51,227.07,
BA,2921104,Medeiros Neto,207.13,304.05,392.49,
BA,2921203,Miguel Calmon,125.54,172.52,279.05,
BA,2921302,Milagres,136.6,207.62,313.88,
BA,2921401,Mirangaba,89.17,124.74,193.47,
BA,2921450,Mirante,108.81,113.58,208.18,
BA,2921500,Monte Santo,92.65,95.43,197.43,
BA,2921609,Morpará,101.1,159.08,224.53,
BA,2921708,Morro do Chapéu,139.12,209.75,250.88,
BA,2921807,Mortugaba,111.13,181.63,330.3,
BA,2921906,Mucugê,140.07,148.27,312.35,
BA,2922003,Mucuri,205.7,350.61,546.41,
BA,2922052,Mulungu do Morro,94.27,100.94,199.94,
BA,2922102,Mundo Novo,111.97,172.29,346.89,
BA,2922201,Muniz Ferreira,112.84,171.73,297.78,
BA,2922250,Muquém de São Francisco,90.26,148.2,166.67,
BA,2922300,Muritiba,160.47,236.55,401.14,
BA,2922409,Mutuípe,118.11,336.68,374.8,
BA,2922508,Nazaré,172.86,214.99,421.82,
BA,2922607,Nilo Peçanha,119.94,139.29,218.32,
BA,2922656,Nordestina,74.07,117.63,187.22,
BA,2922706,Nova Canaã,128.82,157.81,251.9,
BA,2922730,Nova Fátima,236.95,228.02,287.32,
BA,2922755,Nova Ibiá,118.91,160.32,378.1,
BA,2922805,Nova Itarana,86.86,143.41,188.86,
BA,2922854,Nova Redenção,97.27,143.37,222.33,
BA,2922904,Nova Soure,129.33,144.22,241.71,
BA,2923001,Nova Viçosa,209.73,255.08,476.79,
BA,2923035,Novo Horizonte,144.8,213.91,257.12,
BA,2923050,Novo Triunfo,73.11,125.05,194.56,
BA,2923100,Olindina,103.96,172.17,222.62,
BA,2923209,Oliveira dos Brejinhos,82.8,133.23,220.72,
BA,2923308,Ouriçangas,113.79,133.08,281.59,
BA,2923357,Ourolândia,102.76,133.36,239.93,
BA,2923407,Palmas de Monte Alto,117.53,219.03,262.69,
BA,2923506,Palmeiras,165.3,230.73,350.79,
BA,2923605,Paramirim,99.78,340,343.78,
BA,2923704,Paratinga,75.61,96.99,201.79,
BA,2923803,Paripiranga,180.67,183.79,273.23,
BA,2923902,Pau Brasil,116.8,187.7,296.08,
BA,2924009,Paulo Afonso,284.14,342.92,544.73,
BA,2924058,Pé de Serra,86.73,133.43,257.45,
BA,2924108,Pedrão,122.44,116.55,221.53,
BA,2924207,Pedro Alexandre,85.82,101.44,167.65,
BA,2924306,Piatã,80.07,149.11,234.44,
BA,2924405,Pilão Arcado,55.53,90.26,195.98,
BA,2924504,Pindaí,122.69,159.8,270.15,
BA,2924603,Pindobaçu,85.2,160.03,212.52,
BA,2924652,Pintadas,112.6,171.35,281.74,
BA,2924678,Piraí do Norte,141.85,126.72,238.62,
BA,2924702,Piripá,116.81,153.91,241.1,
BA,2924801,Piritiba,111.08,175.24,271.4,
BA,2924900,Planaltino,100.79,143.01,282.33,
BA,2925006,Planalto,111.46,186.95,256.26,
BA,2925105,Poções,130.27,204.45,300.74,
BA,2925204,Pojuca,249.97,281.47,443.8,
