Percentual da população de menos de 15 anos e da população de 65 anos e mais em relação à população de 15 a 64 anos
Sigla,Código,Município,1991,2000,2010,
BA,2900108,Abaíra,80.59,57.91,50.54,
BA,2900207,Abaré,98.25,74.79,61.47,
BA,2900306,Acajutiba,94.06,73.84,62.94,
BA,2900355,Adustina,89.87,73.23,54.29,
BA,2900405,Água Fria,109.96,80.74,57.7,
BA,2900504,Érico Cardoso,79.49,68.48,50.51,
BA,2900603,Aiquara,100.68,72.2,55,
BA,2900702,Alagoinhas,74.62,54.65,44.07,
BA,2900801,Alcobaça,92.6,72.17,56.99,
BA,2900900,Almadina,91.76,69.4,56.73,
BA,2901007,Amargosa,86.68,67.87,55.01,
BA,2901106,Amélia Rodrigues,79.37,59.04,49.5,
BA,2901155,América Dourada,92.3,71.84,62.35,
BA,2901205,Anagé,85.25,62.53,56.46,
BA,2901304,Andaraí,108.07,83.14,63.79,
BA,2901353,Andorinha,80.43,66.11,51.47,
BA,2901403,Angical,94.4,69.28,54.6,
BA,2901502,Anguera,88.72,62.07,50.93,
BA,2901601,Antas,81.37,62.09,47.11,
BA,2901700,Antônio Cardoso,103.78,76.86,56.52,
BA,2901809,Antônio Gonçalves,89.06,71.01,57.56,
BA,2901908,Aporá,89.71,74.62,61.96,
BA,2901957,Apuarema,98.11,79.72,55.17,
BA,2902005,Aracatu,87.07,64.63,51.92,
BA,2902054,Araças,109.82,78.76,53.09,
BA,2902104,Araci,98.17,82.85,65.23,
BA,2902203,Aramari,90.63,67.04,48.97,
BA,2902252,Arataca,101.34,74.04,66.14,
BA,2902302,Aratuípe,93.7,74.48,53.23,
BA,2902401,Aurelino Leal,97.43,75.96,57.2,
BA,2902500,Baianópolis,91.38,66.32,56.99,
BA,2902609,Baixa Grande,94.51,76.23,61.54,
BA,2902658,Banzaê,91.23,72.88,60.27,
BA,2902708,Barra,109.67,88.36,68.89,
BA,2902807,Barra da Estiva,97.5,65.02,53.01,
BA,2902906,Barra do Choça,91.7,60.48,56.14,
BA,2903003,Barra do Mendes,88.67,68.49,61.38,
BA,2903102,Barra do Rocha,95.15,69.49,53.04,
BA,2903201,Barreiras,75.2,59.3,45.41,
BA,2903235,Barro Alto,86.29,66.63,58.32,
BA,2903276,Barrocas,96.03,66.84,50.07,
BA,2903300,Governador Lomanto Júnior,76.75,63.15,51.6,
BA,2903409,Belmonte,97.12,75.06,60.57,
BA,2903508,Belo Campo,85.43,62.96,56.72,
BA,2903607,Biritinga,93.72,75.85,57.49,
BA,2903706,Boa Nova,92.8,79.7,61.42,
BA,2903805,Boa Vista do Tupim,106.03,82.92,62.55,
BA,2903904,Bom Jesus da Lapa,91.06,70.04,54.94,
BA,2903953,Bom Jesus da Serra,88.03,67,57.62,
BA,2904001,Boninal,82.36,74.61,60.1,
BA,2904050,Bonito,97.63,79.52,61.19,
BA,2904100,Boquira,87.2,71.76,58.95,
BA,2904209,Botuporã,87.36,68.68,54.84,
BA,2904308,Brejões,95.4,69.43,53.11,
BA,2904407,Brejolândia,85.05,63.45,51.36,
BA,2904506,Brotas de Macaúbas,90.91,74.39,65.26,
BA,2904605,Brumado,76.4,56.69,46.01,
BA,2904704,Buerarema,90.29,68.11,53.77,
BA,2904753,Buritirama,114.1,87.94,61.12,
BA,2904803,Caatiba,91.86,56.25,52.74,
BA,2904852,Cabaceiras do Paraguaçu,106.38,82.83,62.32,
BA,2904902,Cachoeira,85.67,60.94,48.03,
BA,2905008,Caculé,77.73,61.07,49.24,
BA,2905107,Caém,86.73,68.45,65.23,
BA,2905156,Caetanos,86.74,59.22,49.42,
BA,2905206,Caetité,82.41,66.46,48.87,
BA,2905305,Cafarnaum,90.91,74.01,59.46,
BA,2905404,Cairu,74.41,64.29,47.86,
BA,2905503,Caldeirão Grande,83.28,75.84,61.95,
BA,2905602,Camacan,95.48,71.53,60.35,
BA,2905701,Camaçari,77.86,53.62,41.5,
BA,2905800,Camamu,102.32,81.86,65.02,
BA,2905909,Campo Alegre de Lourdes,99.27,76.69,60.61,
BA,2906006,Campo Formoso,91.75,69.01,56.97,
BA,2906105,Canápolis,93.04,73.89,61.32,
BA,2906204,Canarana,86.41,67.83,58.11,
BA,2906303,Canavieiras,83.73,66.05,55.99,
BA,2906402,Candeal,87.17,62.56,55.64,
BA,2906501,Candeias,74.17,51.5,42.2,
BA,2906600,Candiba,79.86,61.63,47.95,
BA,2906709,Cândido Sales,79.99,60.66,55.48,
BA,2906808,Cansanção,93.76,76.3,62.77,
BA,2906824,Canudos,91.12,72.09,61.23,
BA,2906857,Capela do Alto Alegre,78.16,66.05,53.61,
BA,2906873,Capim Grosso,86.61,65.7,54.26,
BA,2906899,Caraíbas,90.65,62.62,55.34,
BA,2906907,Caravelas,88.51,71.09,56.52,
BA,2907004,Cardeal da Silva,110.32,85.71,63.4,
BA,2907103,Carinhanha,99.73,78.41,61.6,
BA,2907202,Casa Nova,85.79,69.36,58.07,
BA,2907301,Castro Alves,92.96,70.64,51.88,
BA,2907400,Catolândia,97.92,68.31,56.65,
BA,2907509,Catu,77.01,52.54,41.83,
BA,2907558,Caturama,87.93,61.82,48.55,
BA,2907608,Central,86.16,66.93,58.05,
BA,2907707,Chorrochó,94.68,75.93,64.35,
BA,2907806,Cícero Dantas,78.1,65.79,52.57,
BA,2907905,Cipó,94.94,74.32,56.88,
BA,2908002,Coaraci,80.42,62.56,57.25,
BA,2908101,Cocos,89.58,69.39,56.83,
BA,2908200,Conceição da Feira,84.78,61.15,50.39,
BA,2908309,Conceição do Almeida,87.09,64.75,46.75,
BA,2908408,Conceição do Coité,87.94,63.37,52.37,
BA,2908507,Conceição do Jacuípe,79.03,53.84,45.93,
BA,2908606,Conde,103.31,83.94,66.5,
BA,2908705,Condeúba,89.52,67.47,59.48,
BA,2908804,Contendas do Sincorá,88.74,67.01,55.2,
BA,2908903,Coração de Maria,95.18,68.7,53.27,
BA,2909000,Cordeiros,91.72,68.28,52.25,
BA,2909109,Coribe,83.32,65.14,54.27,
BA,2909208,Coronel João Sá,89.14,75.68,60.26,
BA,2909307,Correntina,87.15,68.21,54.52,
BA,2909406,Cotegipe,104.79,76.8,55.99,
BA,2909505,Cravolândia,104.44,73.43,57.04,
BA,2909604,Crisópolis,93.33,73.19,60.09,
BA,2909703,Cristópolis,98,67.9,54.49,
BA,2909802,Cruz das Almas,76.99,55.7,43.13,
BA,2909901,Curaçá,96.4,74.15,60.38,
BA,2910008,Dário Meira,103.17,76.25,59.85,
BA,2910057,Dias d'Ávila,78.95,57.82,45.71,
BA,2910107,Dom Basílio,80.3,60.8,47.49,
BA,2910206,Dom Macedo Costa,89.96,61.62,50.1,
BA,2910305,Elísio Medrado,92.46,64.95,53.33,
BA,2910404,Encruzilhada,87.36,63.55,58.5,
BA,2910503,Entre Rios,92.24,71.12,54.32,
BA,2910602,Esplanada,93.69,78.24,60.72,
BA,2910701,Euclides da Cunha,89.73,68.49,57.25,
BA,2910727,Eunápolis,81.91,59.83,49.83,
BA,2910750,Fátima,84.49,70.74,53.06,
BA,2910776,Feira da Mata,88.03,63.52,52.24,
BA,2910800,Feira de Santana,70.29,53.42,42.96,
BA,2910859,Filadélfia,94.33,70.81,56.19,
BA,2910909,Firmino Alves,88.94,68.68,57.06,
BA,2911006,Floresta Azul,92.12,67.18,57.39,
BA,2911105,Formosa do Rio Preto,105.96,76.71,56.87,
BA,2911204,Gandu,85.65,62.29,50.48,
BA,2911253,Gavião,99.49,68.75,49.45,
BA,2911303,Gentio do Ouro,82,72.86,60.37,
BA,2911402,Glória,91.68,66.07,50.41,
BA,2911501,Gongogi,104.22,75.48,52.61,
BA,2911600,Governador Mangabeira,99.55,64.92,50.42,
BA,2911659,Guajeru,86.01,62.75,53.73,
BA,2911709,Guanambi,72.32,56.74,44.49,
BA,2911808,Guaratinga,94.86,70.65,59.04,
BA,2911857,Heliópolis,86.62,76.71,55.25,
BA,2911907,Iaçu,104.46,77.88,61.48,
BA,2912004,Ibiassucê,74.76,56.57,47.27,
BA,2912103,Ibicaraí,86.25,66.2,57.83,
BA,2912202,Ibicoara,95.48,67.43,53.81,
BA,2912301,Ibicuí,86.86,66.09,55.04,
BA,2912400,Ibipeba,77.51,62.24,52.65,
BA,2912509,Ibipitanga,84.06,67.36,54.96,
BA,2912608,Ibiquera,103.24,74.56,60.51,
BA,2912707,Ibirapitanga,102.84,83.05,66.6,
BA,2912806,Ibirapuã,82.84,62.68,55.79,
BA,2912905,Ibirataia,95.42,66.04,55.05,
BA,2913002,Ibitiara,78.47,68.81,55.06,
BA,2913101,Ibititá,80.86,64.43,55.18,
BA,2913200,Ibotirama,91.6,69.08,54.51,
BA,2913309,Ichu,77.27,60.45,52.5,
BA,2913408,Igaporã,83.83,63.63,48.88,
BA,2913457,Igrapiúna,103.73,82.01,62.32,
BA,2913507,Iguaí,88.83,68.27,58.9,
BA,2913606,Ilhéus,76.26,57.71,47.93,
BA,2913705,Inhambupe,94.68,76.85,59.15,
BA,2913804,Ipecaetá,95.66,74.38,55.3,
BA,2913903,Ipiaú,82.23,62.34,50.27,
BA,2914000,Ipirá,96.24,73,57.96,
BA,2914109,Ipupiara,80.04,62.99,53.7,
BA,2914208,Irajuba,92.65,74.4,60.19,
BA,2914307,Iramaia,92.53,66.41,57.45,
BA,2914406,Iraquara,92.88,78.42,61.57,
BA,2914505,Irará,97.43,75,54.31,
BA,2914604,Irecê,75.23,56.2,47.83,
BA,2914653,Itabela,91.37,72.4,58.91,
BA,2914703,Itaberaba,91.64,66.11,53.76,
BA,2914802,Itabuna,69.86,52.67,43.85,
BA,2914901,Itacaré,98.31,77.32,57.26,
BA,2915007,Itaeté,105.4,85.12,64.49,
BA,2915106,Itagi,102.5,74.74,60.85,
BA,2915205,Itagibá,93.16,67.69,53.37,
BA,2915304,Itagimirim,91.07,62.21,58.35,
BA,2915353,Itaguaçu da Bahia,96.45,79.7,61.12,
BA,2915403,Itaju do Colônia,90.67,69.73,61.06,
BA,2915502,Itajuípe,82.13,64.68,53.51,
BA,2915601,Itamaraju,88.24,65.14,53.74,
BA,2915700,Itamari,93.49,67.85,59.08,
BA,2915809,Itambé,84.87,64.98,56.93,
BA,2915908,Itanagra,110,81.24,58.51,
BA,2916005,Itanhém,80.7,66.66,55.46,
BA,2916104,Itaparica,80.3,57.07,48.97,
BA,2916203,Itapé,89.81,59.8,53.95,
BA,2916302,Itapebi,99.49,72.87,62.69,
BA,2916401,Itapetinga,73.37,56.61,48.51,
BA,2916500,Itapicuru,91.75,79.08,63.64,
BA,2916609,Itapitanga,90.85,63.75,53.35,
BA,2916708,Itaquara,95.53,76.17,52.64,
BA,2916807,Itarantim,78.66,59.99,52.2,
BA,2916856,Itatim,92.58,70.61,53.59,
BA,2916906,Itiruçu,88.34,66.85,54.97,
BA,2917003,Itiúba,97.97,78.26,62.55,
BA,2917102,Itororó,89.06,64.75,55.29,
BA,2917201,Ituaçu,88.16,67.75,52.43,
BA,2917300,Ituberá,87.43,71.72,55,
BA,2917334,Iuiú,89.79,72.2,53.59,
BA,2917359,Jaborandi,92.09,67.96,48.79,
BA,2917409,Jacaraci,79.01,60.73,48.95,
BA,2917508,Jacobina,79.06,61.96,50.81,
BA,2917607,Jaguaquara,86.63,70.15,58.07,
BA,2917706,Jaguarari,82.38,63.23,52.84,
BA,2917805,Jaguaripe,91.52,73.16,55.39,
BA,2917904,Jandaíra,105.83,84.76,66.23,
BA,2918001,Jequié,74.96,59.91,48.05,
BA,2918100,Jeremoabo,91,73.68,59.68,
BA,2918209,Jiquiriçá,96.96,68.32,51.86,
BA,2918308,Jitaúna,90.45,64.48,57.41,
BA,2918357,João Dourado,91.36,63.83,57.81,
BA,2918407,Juazeiro,71.54,58.95,50.12,
BA,2918456,Jucuruçu,100.51,74.11,56.41,
BA,2918506,Jussara,99.2,71,59.86,
BA,2918555,Jussari,87.86,65.96,57.91,
BA,2918605,Jussiape,71.33,48.49,50.55,
BA,2918704,Lafaiete Coutinho,81.48,60.75,49.98,
BA,2918753,Lagoa Real,87.78,70.91,51.54,
BA,2918803,Laje,93.15,67.92,51.93,
BA,2918902,Lajedão,72.92,61.79,53.18,
BA,2919009,Lajedinho,86.89,75.8,56.44,
BA,2919058,Lajedo do Tabocal,79.3,66.6,56.08,
BA,2919108,Lamarão,109,75.64,60.32,
BA,2919157,Lapão,84.91,65.5,54.5,
BA,2919207,Lauro de Freitas,74.67,50.22,39.6,
BA,2919306,Lençóis,105.02,76.22,55.66,
BA,2919405,Licínio de Almeida,83.7,63.59,51.4,
BA,2919504,Livramento de Nossa Senhora,83.34,61.39,48.45,
BA,2919553,Luís Eduardo Magalhães,66.68,63.56,44.95,
BA,2919603,Macajuba,104.46,79.68,66.75,
BA,2919702,Macarani,83.47,68.71,53.08,
BA,2919801,Macaúbas,85.3,69.04,53.49,
BA,2919900,Macururé,91.3,71.35,61.75,
BA,2919926,Madre de Deus,64.69,49.14,40.55,
BA,2919959,Maetinga,85.84,59.72,57.13,
BA,2920007,Maiquinique,79.1,64.51,53.88,
BA,2920106,Mairi,92.64,72.64,57.75,
BA,2920205,Malhada,103.61,78.89,61.06,
BA,2920304,Malhada de Pedras,83.26,63.86,52.25,
BA,2920403,Manoel Vitorino,91.18,70.74,58.57,
BA,2920452,Mansidão,108.71,82.55,57.76,
BA,2920502,Maracás,85.69,59.78,53.56,
BA,2920601,Maragogipe,87.05,64.12,48.39,
BA,2920700,Maraú,100.18,72.69,58.73,
BA,2920809,Marcionílio Souza,89.35,81.58,62.2,
BA,2920908,Mascote,101.41,76.3,65.32,
BA,2921005,Mata de São João,82.98,57.25,46.43,
BA,2921054,Matina,87.22,70.27,54.95,
BA,2921104,Medeiros Neto,76.26,64.07,55.02,
BA,2921203,Miguel Calmon,88.35,67.6,54.99,
BA,2921302,Milagres,88.65,65.93,55.44,
BA,2921401,Mirangaba,96.79,72.29,57.82,
BA,2921450,Mirante,90.17,55.41,55.52,
BA,2921500,Monte Santo,91.01,74.91,62.35,
BA,2921609,Morpará,98.79,72.46,59.78,
BA,2921708,Morro do Chapéu,92.04,75.29,60.73,
BA,2921807,Mortugaba,83.61,64.13,52.78,
BA,2921906,Mucugê,81.82,64.21,53.68,
BA,2922003,Mucuri,85.85,67.73,52.88,
BA,2922052,Mulungu do Morro,87.43,76.28,61.75,
BA,2922102,Mundo Novo,81.47,76.95,59.02,
BA,2922201,Muniz Ferreira,85.63,58.36,45.06,
BA,2922250,Muquém de São Francisco,105.91,82.17,65.89,
BA,2922300,Muritiba,81,59.48,48,
BA,2922409,Mutuípe,90.61,64.49,49.21,
BA,2922508,Nazaré,79.7,59.41,48.38,
BA,2922607,Nilo Peçanha,94.92,74.41,53.63,
BA,2922656,Nordestina,102.86,76.93,61.82,
BA,2922706,Nova Canaã,79.07,63.08,59.78,
BA,2922730,Nova Fátima,69.47,59.13,49.47,
BA,2922755,Nova Ibiá,91.36,66.65,51.85,
BA,2922805,Nova Itarana,101.56,80.49,62.76,
BA,2922854,Nova Redenção,109.14,76.94,54.2,
BA,2922904,Nova Soure,89.7,74.32,63.72,
BA,2923001,Nova Viçosa,87.61,71.86,57,
BA,2923035,Novo Horizonte,85.42,67.68,52.19,
BA,2923050,Novo Triunfo,90.57,65.91,51.77,
BA,2923100,Olindina,90.72,70.97,59.15,
BA,2923209,Oliveira dos Brejinhos,97.01,77.57,62.78,
BA,2923308,Ouriçangas,104.23,77.45,50,
BA,2923357,Ourolândia,101.19,69.85,57.74,
BA,2923407,Palmas de Monte Alto,88.53,68.16,48.03,
BA,2923506,Palmeiras,92.8,74.04,62.04,
BA,2923605,Paramirim,81.04,60.8,46.43,
BA,2923704,Paratinga,106.47,83.29,59.25,
BA,2923803,Paripiranga,82.33,72.79,55.57,
BA,2923902,Pau Brasil,95.8,71.35,66.31,
BA,2924009,Paulo Afonso,68.62,56.07,49.17,
BA,2924058,Pé de Serra,82.97,72.87,56.75,
BA,2924108,Pedrão,96.38,79.71,59.72,
BA,2924207,Pedro Alexandre,93.02,75.54,58.73,
BA,2924306,Piatã,91.29,70.07,60.47,
BA,2924405,Pilão Arcado,107.86,82.96,64.49,
BA,2924504,Pindaí,86.07,62.91,48.06,
BA,2924603,Pindobaçu,88.58,63.23,55.62,
BA,2924652,Pintadas,87.7,68.16,55.32,
BA,2924678,Piraí do Norte,94.8,73.73,55.81,
BA,2924702,Piripá,84.58,70.13,46.88,
BA,2924801,Piritiba,91.34,72.69,59.22,
